"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"88-13270/2026";"16.07.2026";"2-377/2025";"Ш., агроном";"ООО Иркутская клубника";"МЗП с региональными надбавками";"МЗП + РК 1,3 + северная надбавка";"Оставлено";"Резервная база учитывает обязательные климатические выплаты"
"2";"88-11678/2026";"30.06.2026";"2-936/2025";"О.1, бетонщик";"ООО СервисТехСтрой";"База для страховых взносов";"Размер зарплаты отдельно не взыскивался";"Оставлено";"П. 23 применён к производным обязанностям после несчастного случая"
"3";"88-7799/2026";"21.05.2026";"2-976/2025";"К., коммерческий директор";"ООО Безопасность-НК";"МРОТ и районный коэффициент";"Взыскано 333490,17 руб.";"Оставлено";"Письменные документы об окладе вытесняют статистику"
"4";"88-8491/2026";"12.05.2026";"2-3854/2025";"К.А., тренер";"ИП Ш.";"Расчёт по времени и минимуму";"Зарплата 100775,79 руб.";"Оставлено";"Для неполной занятости учитываются время и минимальные гарантии"
"5";"88-8842/2026";"14.05.2026";"2-196/2025";"И., работник";"ООО Авангард";"Обычное вознаграждение по статистике";"Местные статистические сведения";"Оставлено";"При отсутствии документов работодателя применяется статистика"
"6";"88-7981/2026";"07.05.2026";"2-6044/2025";"К., работник";"ИП Д.";"Красноярскстат по ОКВЭД";"Задолженность 650765,60 руб. по Красноярскстату";"Без рассмотрения в части жалобы";"Статистика по виду деятельности допустима при информационном вакууме"
"7";"88-6773/2026";"28.04.2026";"2-73/2025";"Т., исполнитель";"ООО СК Интеграл";"Доказанная стоимость работ";"Выплата 83333 руб. подтверждена выпиской";"Оставлено";"После переквалификации учитывается доказанная стоимость труда"
"8";"88-7151/2026";"28.04.2026";"2-486/2025";"П., работник магазина";"З. и ИП Т.";"Объяснения и рабочая переписка";"60 000 руб./мес.; взыскано 5454,54 и 68663,04 руб.";"Оставлено";"Переписка может подтвердить согласованный размер оплаты"
"9";"88-7296/2026";"23.04.2026";"2-877/2025";"Р., разнорабочий";"ООО Реновация";"Обычное вознаграждение по местности";"Размер в определении не раскрыт";"Оставлено";"Обычная зарплата используется для страховых последствий"
"10";"88-189/2026";"22.01.2026";"2-24/2025";"Т., пескоструйщик 4 разряда";"АО Татнефтепроводстрой";"Фактические выплаты и надбавки";"Расчётные листки без РК 1,7 и надбавки 30%";"Оставлено в изменённой сумме";"Письменные данные приоритетны, климатические надбавки обязательны"
"11";"88-925/2026";"15.01.2026";"2-1720/2025";"Ф., торговый представитель";"ИП Б.";"МРОТ с коэффициентом";"МРОТ Хакасии + РК 1,3";"Оставлено";"Объявление о доходе не подтверждает конвертную часть"
"12";"88-20805/2025";"04.12.2025";"2-1070/2024";"О., менеджер";"ИП И.";"Доказанный размер и минимум";"Взыскано 74880 руб.";"Изменено, оставлено";"Взыскивается только подтверждённая часть оплаты"
"13";"88-20699/2025";"09.12.2025";"2-3448/2024";"Ч., менеджер-технолог";"ООО Сезам";"Штатный оклад и надбавки";"16600-23400 руб. + РК 1,2 + 30%";"Оставлено";"Штатное расписание вытесняет неподтверждённую высокую зарплату"
"14";"88-20976/2025";"18.12.2025";"2-541/2025";"С., повар";"ООО Мадам Эль";"Минимальные гарантии";"Взыскано 123954 руб.";"Оставлено";"Жильё и питание не заменяют денежную зарплату"
"15";"88-17783/2025";"18.11.2025";"2-159/2025";"Б.Г.Ю., работник проекта";"ООО СМ-ИНЖ";"Табели и фактические данные";"МРОТ 15279/16242 руб. проверен апелляцией";"Оставлено";"Нельзя механически ограничиваться МРОТ при иных доказательствах"
"16";"88-17787/2025";"13.11.2025";"2-342/2025";"Д., бухгалтер";"ИП К.";"Переписка WhatsApp";"Зарплата 27586,20 руб.";"Оставлено";"Переписка о конкретной зарплате вытесняет статистику"
"17";"88-14644/2025";"23.10.2025";"2-166/2025";"В., водитель";"ИП П.";"Тарифы и периоды работы";"Зарплата не взыскана; сохранены статус и отчисления";"Оставлено";"Нужны доказанные тарифы и объём работы"
"18";"88-16087/2025";"21.10.2025";"2-167/2025";"Т.Е.ВБ., водитель";"ИП П.";"Рейсы, километраж и расчёт";"Заявлены 90000/150000 руб.; учтена доказуемая модель";"Оставлено";"При споре о фиксированной сумме выбирается доказуемая модель"
"19";"88-15735/2025";"14.10.2025";"2-1075/2024";"К.П., водитель-экспедитор";"ООО Алмет";"Установленная месячная оплата";"Период 22.05-30.06.2023";"Оставлено";"Денежные последствия ограничены доказанным периодом"
"20";"88-11057/2025";"01.07.2025";"2-509/2024";"О.В., переплётчица";"ООО Альгиз";"Штатное расписание и минимум";"Минимальные гарантии с региональными условиями";"Оставлено";"Логика п. 23 применяется при кадровом вакууме"
"21";"88-11910/2025";"15.07.2025";"2-330/2024";"Ж., работник";"ЛОЦ ЛДЦ";"Фактическая база для взносов";"Заявленная МЗП 24230,50 руб. не принята автоматически";"Оставлено";"База взносов требует установления зарплаты за период"
"22";"88-11746/2025";"10.07.2025";"2-103/2024";"Я.Ю.В., зам. гендиректора";"ООО Автотранс";"Договорная оплата, проверка фактов";"Заявлено 420454,55 руб.";"Отменено, новое рассмотрение";"Сначала устанавливаются функция и достоверность документов"
"23";"88-11329/2025";"10.07.2025";"2-2992/2024";"Т., машинист по стирке";"ООО Вайт/Блэк";"Минимальная гарантия";"Заявлено 16276 руб.; период установлен судом";"Оставлено";"При отсутствии ведомостей минимум ограничивает взыскание"
"24";"88-9902/2025";"15.07.2025";"2-4653/2024";"И., работник";"ИП Б.";"МРОТ по периоду";"Листок 41648 руб.; база - минимум";"Оставлено";"Разовая запись не доказывает постоянную ставку"
"25";"88-8944/2025";"29.05.2025";"2-332/2024";"К., работник";"ООО Экспресс Логистика Транс";"Трудовой доход по доказательствам";"Доход 221252,48 руб.; договор 241380 руб.";"Изменено в денежной части";"Цена ГПХ не равна автоматически зарплате"
"26";"88-8944/2025";"29.05.2025";"2-332/2024";"К., дубль";"ООО Экспресс Логистика Транс";"Тот же расчёт, дубль";"Повтор определения 88-8944/2025";"Дубль";"Дубль не искажает статистику уникальных определений"
"27";"88-7684/2025";"06.05.2025";"2-2992/2024";"Т., менеджер";"ИП В.Г.";"Доказанный оклад без премии";"Заявлено 74246 руб.; премия не доказана";"Оставлено";"Недоказанная премия не увеличивает базу"
"28";"88-7430/2025";"29.04.2025";"2-877/2025";"С., комендант/охранник";"ООО Мамская горнорудная компания";"Оклад и северные выплаты";"172414 руб./мес. включая РК и надбавку";"Оставлено";"Северное обычное вознаграждение включает обязательные выплаты"
"29";"88-6027/2025";"10.04.2025";"2-2166/2024";"С.В.А., юрист";"ООО БизнесЮрист";"Доказанная часть диапазона";"Предложено 65000-115000 руб.; доказан фактический период";"Оставлено";"Приглашение не подтверждает верхнюю границу оплаты"
"30";"88-3996/2025";"25.03.2025";"2-2266/2024";"М., юрист-совместитель";"ИП К.";"Фактическая функция и период";"Зарплата 199048,44 руб.; отпускные 46315,62 руб.";"Оставлено";"Отсутствие оформления не обнуляет оплату совместителя"
"31";"88-4401/2025";"18.03.2025";"обезличено";"У., упаковщица";"ООО Ризык";"Штатное расписание и статистика";"Зарплата 9391,68 руб. за август; база сопоставлена с выплатами";"Оставлено";"Обычное вознаграждение сопоставляется с выплатами у работодателя"
"32";"88-1955/2025";"25.02.2025";"2-1032/2024";"Д.Л., продавец-консультант";"ИП Ю.";"Обычное вознаграждение и минимум";"Взыскано 9622 руб. за сентябрь; средний заработок 308951,48 руб.";"Изменено в денежной части";"Неподтверждённая процентная часть ограничивается"
"33";"88-24843/2024";"16.01.2025";"2-2287/2024";"Н., юрисконсульт";"ИП Ф.";"Статистика по квалификации";"Зарплата рассчитана пропорционально периоду";"Оставлено";"Статистика применяется пропорционально времени работы"
"34";"88-24015/2024";"12.12.2024";"2-475/2024";"К., начальник производства";"ООО Завод промышленного краностроения";"Письменный оклад";"Договорный оклад 120000 руб. на руки; фактически 18379 руб.";"Оставлено";"П. 23 субсидиарен при наличии договора"
"35";"88-24176/2024";"10.12.2024";"2-726/2024";"С.В.ВА., работник";"ООО Автопроект";"Подтверждённые условия и время";"Размер по доказанному объёму работы";"Оставлено";"Нужно доказать объём работы"
"36";"88-22279/2024";"29.10.2024";"2-34/2024";"Л.М., работник";"ООО Спецмонтажпроект";"Омскстат и платежи";"Взыскано 736114,85 руб.";"Оставлено";"Статистика проверяется перечислениями"
"37";"88-19207/2024";"12.09.2024";"2-6/2024";"З., работник";"ООО Сибирский селекционный центр";"Приказы и ведомости";"Размер по письменным начислениям";"Оставлено";"Письменные документы исключают статистический переход"
"38";"88-13426/2024";"20.08.2024";"2-3483/2023";"М., работник";"ООО Ажур Ковка";"Доказанные условия и время";"Частичное взыскание по установленному периоду";"Оставлено";"Период и объём работы должны быть подтверждены"
"39";"88-16165/2024";"30.07.2024";"2-1725/2023";"Д.Е.А., менеджер продаж";"ООО Сибирская дирекция энергостроительства";"Переписка и конкретная выплата";"В переписке подтверждено 9000 руб.";"Оставлено";"Переписка о сумме сильнее общей вакансии"
"40";"88-13446/2024";"09.07.2024";"2-5220/2023";"Р., менеджер клиентов";"ООО Посад";"Совокупность деловых документов";"Зарплата 54947,81 руб.; взносы 166461,12 руб.";"Оставлено";"Согласованный размер подтверждается совокупностью материалов"
"41";"88-11368/2024";"13.06.2024";"2-1315/2023";"Ш., работник";"ООО Апартель";"Минимум и доказанный период";"Расчёт ограничен установленной работой";"Оставлено";"Расчёт ограничен установленной работой"
"42";"88-10926/2024";"11.06.2024";"2-1481/2023";"Ш.Ф.Ш., работник";"Т.М.";"Минимум и подтверждённые выплаты";"Размер по доказанным выплатам";"Оставлено";"Перечисление денег не доказывает весь оклад"
"43";"88-9349/2024";"06.06.2024";"обезличено";"Работник";"Физическое лицо";"Минимальная база";"Минимальная зарплата за период";"Оставлено";"При информационном вакууме действует минимум"
"44";"88-11059/2024";"04.06.2024";"2-516/2023";"А.О.БА., К.М.К., Л.Т.С.";"ИП К.М.СА.";"МЗП субъекта и районный коэффициент";"МЗП Новосибирской области с районным коэффициентом";"Оставлено";"МЗП субъекта применяется как резерв"
"45";"88-10166/2024";"28.05.2024";"2-1141/2023";"К., работник";"Организация";"Фактически начисленная зарплата";"Среднедневная база требует перерасчёта";"Отменено, новое рассмотрение";"Производные выплаты требуют корректной базы"
