"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"1";"33-19277/2026";"25.05.2026";"2-4141/2025";"Г.Т., ведущий специалист-эксперт";"ООО НПП ХИМРЕАКТИВ";"Установленный оклад и расчёт истца";"60 000 руб./мес.; 20 000 руб. дополнительно не доказаны";"Частично отменено";"Оклад и расчёт приняты, дополнительная работа без доказательств исключена"
"2";"33-19535/2026";"14.05.2026";"2-0193/2025";"Фио, администратор";"ООО Клининг-Экспертиза";"Ведомости, банковские выплаты, переписка";"Суммы обезличены в источнике";"Отменено, новое решение";"Размер определяется по совокупности фактических письменных следов"
"3";"33-18359/2026";"13.05.2026";"2-15860/2025";"Д.А.Х., заместитель гендиректора";"ООО Рэм Билдинг";"Кадровые документы и фактическая выплата";"75 000 руб./мес.; средний заработок 1 685 526,32 руб.";"Отменено, новое решение";"Документированная база имеет приоритет над заявленными 150 000 руб."
"4";"33-18359/2026";"13.05.2026";"2-15860/2025";"Д.А.Х., заместитель гендиректора (дубль)";"ООО Рэм Билдинг";"Повтор позиции 3";"75 000 руб./мес.";"Отменено, новое решение";"Позиция повторяет дело 3"
"5";"33-18673/2026";"06.05.2026";"2-1856/2025";"Р., инженер-проектировщик";"ООО Ай Ди Групп";"Сдельная ставка и расчёт истца";"550 руб./кв. м; взыскано 205 150 руб.";"Отменено, новое решение";"Неоформление договора не вредит при непротиворечивом расчёте"
"6";"33-18492/2026";"06.05.2026";"2-14300/2025";"Б.К.ГА., главный юрисконсульт";"ООО ТД Глобал Фудс";"Мосстат, вакансии, выплаты";"6 436,13 руб./день; средний заработок 1 367 088,51 руб.";"Отменено, новое решение";"Рыночные сведения проверяются совместно с договором и выплатами"
"7";"33-22573/2026";"01.06.2026";"02-6313/2025";"Г., администратор";"ООО Созвездие";"Неоспоренный расчёт истца";"Размер обезличен";"Оставлено без изменения";"Расчёт принят при отсутствии альтернативы и явной несоразмерности"
"8";"33-18617/2026";"28.04.2026";"2-4272/2025";"Т.С., руководитель отдела продаж";"ИП П.";"Оклад по установленным условиям";"300 000 руб./мес.; взыскано 400 000 руб.";"Оставлено без изменения";"Расписки по ГПД не опровергли трудовую оплату"
"9";"33-7970/2026";"13.03.2026";"02-2001/2025";"Б., должность обезличена";"ООО Стройтим";"Трудовой договор и банковские выплаты";"Суммы обезличены";"Оставлено без изменения";"Работодатель не доказал выплату и прекращение договора"
"10";"33-6057/2026";"07.04.2026";"2-1661/2025";"А.М.ПА., помощник оценщика";"ООО Оптимал Групп";"Договор, расчётные листки, справка о доходах";"11 000 руб./мес.; долг 23 500 руб.";"Изменено";"При наличии договора расчёт ведётся по договорному размеру"
"11";"33-17464/2026";"21.04.2026";"2-2810/2025";"П.Ю.П., производитель работ и главный инженер";"ООО КОЛМАР";"GorodRabot и расчёт истца";"Задолженность 596 504 руб.; прочие суммы обезличены";"Оставлено без изменения";"Рыночные данные допустимы при отсутствии документов работодателя"
"12";"33-6058/2026";"25.02.2026";"2-174/2025";"В.Д., должность обезличена";"ИП К.";"Расчёт первой инстанции";"Задолженность 35 400 руб.";"Оставлено без изменения";"Расчёт сохраняется при отсутствии альтернативы ИП"
"13";"33-14092/2026";"07.04.2026";"2-2882/2025";"Р.А., совместитель";"ООО УК Объект";"Мосстат по группе юристов";"Суммы обезличены";"Отменено, новое решение";"Статистика проверяет соразмерность обычного вознаграждения"
"14";"33-6398/2026";"05.03.2026";"02-2876/2025";"Фио, менеджер контактного центра";"ООО Белая Радуга";"Штатное расписание, договоры, Росстат";"Минимальный размер, сумма обезличена";"Оставлено без изменения";"Вакансия hh.ru не фиксирует согласованный оклад"
"15";"33-11509/2026";"19.03.2026";"02-6324/2025";"В.Л., должность обезличена";"ИП В.А.";"Письменный договор и 2-НДФЛ";"Договорный оклад; серая доплата не доказана";"Оставлено без изменения";"П. 23 неприменим вместо договорного оклада"
"16";"33-61479/2025";"17.12.2025";"2-1296/2025";"Т., менеджер по работе с клиентами";"ООО Вайлдберриз";"Фактический период и материалы дела";"Взыскано 366 644,66 руб.; поздний период исключён";"Частично отменено";"Взыскание ограничено реально отработанным временем"
"17";"33-59071/2025";"08.12.2025";"2-3916/2024";"В., руководитель проекта";"ООО Строительная компания Профстроймонтаж";"Согласованный оклад";"170 000 руб./мес.; долг 1 152 661,44 руб.";"Оставлено без изменения";"Неопровергнутый размер принят при отсутствии договора"
"18";"33-61174/2025";"16.12.2025";"02-0345/2025";"Фио, руководитель проекта";"ООО РСС-сервис";"Справка работодателя и выплаты";"Суммы обезличены";"Оставлено без изменения";"Кадровые и платёжные документы раскрывают реальный оклад"
"19";"33-6178/2026";"24.02.2026";"2-4142/2025";"В.С., специалист отдела продаж";"Работодатель обезличен";"Оклад и частичная выплата";"Суммы обезличены";"Оставлено без изменения";"Рабочий чат и выплата подтверждают условия при отсутствии договора"
"20";"33-57588/2025";"04.12.2025";"2-188/2025";"Фио, должность обезличена";"ИП фио";"Письменный договор и расчётные документы";"Договорный оклад; доплата не доказана";"Оставлено без изменения";"П. 23 не применяется при оформленном договоре"
"21";"33-57350/2025";"03.12.2025";"обезличено";"Р., должность обезличена";"ООО Стройтим";"Договор, выплаты и расчёт";"Суммы обезличены";"Изменено/частично";"Задолженность определяется по доступным документам"
"22";"33-56226/2025";"24.11.2025";"2-1008/2025";"К. и О., должности обезличены";"ООО ЮК Центр";"2-НДФЛ и расчётные документы";"К. 12 471,41 руб.; О. суммы по месяцам";"Оставлено без изменения";"П. 23 не отменяет подписанные налоговые документы"
"23";"33-53737/2025";"17.11.2025";"2-1823/2025";"Р., генеральный директор";"ООО ПРОКИП";"Оклад и проверка обычности";"1 439 782 руб./мес.; зарплата 971 449,65 руб.";"Оставлено без изменения";"Высокий оклад сохраняется без доказательств несоразмерности"
"24";"33-61555/25";"10.12.2025";"2-9004/25";"К., должность обезличена";"ООО УК Комфортные решения";"Мосстат вместо механической МЗП";"Суммы обезличены";"Изменено";"Минимум применяется только при отсутствии иных доказательств"
